code,sku,download_res,crop,note
MC945_AV1_BLACK,MC945,1024x1024,,auto: custom download res (or undocumented crop?) — verify
MC945_AV1_WHITE,MC945,1024x1024,,auto: custom download res (or undocumented crop?) — verify
MC945_AV2_BLACK,MC945,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MC945_AV2_WHITE,MC945,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MC945_AV3_BLACK,MC945,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MC945_AV3_WHITE,MC945,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MC945_AV4_BLACK,MC945,1024x1024,,auto: custom download res (or undocumented crop?) — verify
MC945_AV4_WHITE,MC945,1024x1024,,auto: custom download res (or undocumented crop?) — verify
MC945_AV5,MC945,1024x1024,,auto: custom download res (or undocumented crop?) — verify
MC947,MC947,768x768,,auto: custom download res (or undocumented crop?) — verify
MC947_AV1_BLACK,MC947,1024x1024,,auto: custom download res (or undocumented crop?) — verify
MC947_AV1_WHITE,MC947,1024x1024,,auto: custom download res (or undocumented crop?) — verify
MC947_AV2_BLACK,MC947,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MC947_AV2_WHITE,MC947,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MC947_AV3_BLACK,MC947,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MC947_AV3_WHITE,MC947,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MC947_AV4_BLACK,MC947,1024x1024,,auto: custom download res (or undocumented crop?) — verify
MC947_AV4_WHITE,MC947,1024x1024,,auto: custom download res (or undocumented crop?) — verify
MC947_AV5,MC947,1024x1024,,auto: custom download res (or undocumented crop?) — verify
MC948,MC948,768x768,,auto: custom download res (or undocumented crop?) — verify
MC948_AV1_BLACK,MC948,1024x1024,,auto: custom download res (or undocumented crop?) — verify
MC948_AV1_WHITE,MC948,1024x1024,,auto: custom download res (or undocumented crop?) — verify
MC948_AV2_BLACK,MC948,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MC948_AV2_WHITE,MC948,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MC948_AV3_BLACK,MC948,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MC948_AV3_WHITE,MC948,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MC948_AV4_BLACK,MC948,1024x1024,,auto: custom download res (or undocumented crop?) — verify
MC948_AV4_WHITE,MC948,1024x1024,,auto: custom download res (or undocumented crop?) — verify
MC948_AV5,MC948,1024x1024,,auto: custom download res (or undocumented crop?) — verify
MC949,MC949,768x768,,auto: custom download res (or undocumented crop?) — verify
MC949_AV1_BLACK,MC949,1024x1024,,auto: custom download res (or undocumented crop?) — verify
MC949_AV1_WHITE,MC949,1024x1024,,auto: custom download res (or undocumented crop?) — verify
MC949_AV2_BLACK,MC949,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MC949_AV2_WHITE,MC949,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MC949_AV3_BLACK,MC949,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MC949_AV3_WHITE,MC949,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MC949_AV4_BLACK,MC949,1024x1024,,auto: custom download res (or undocumented crop?) — verify
MC949_AV4_WHITE,MC949,1024x1024,,auto: custom download res (or undocumented crop?) — verify
MC949_AV5,MC949,1024x1024,,auto: custom download res (or undocumented crop?) — verify
MC952,MC952,768x768,,auto: custom download res (or undocumented crop?) — verify
MC952_AV1_BLACK,MC952,1024x1024,,auto: custom download res (or undocumented crop?) — verify
MC952_AV1_WHITE,MC952,1024x1024,,auto: custom download res (or undocumented crop?) — verify
MC952_AV2_BLACK,MC952,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MC952_AV2_WHITE,MC952,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MC952_AV3_BLACK,MC952,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MC952_AV3_WHITE,MC952,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MC952_AV4_BLACK,MC952,1024x1024,,auto: custom download res (or undocumented crop?) — verify
MC952_AV4_WHITE,MC952,1024x1024,,auto: custom download res (or undocumented crop?) — verify
MC952_AV5,MC952,1024x1024,,auto: custom download res (or undocumented crop?) — verify
MCFC4,MCFC4,,,
MCFC4_AV1,MCFC4,3225x3225,,auto: custom download res (or undocumented crop?) — verify
MCFC4_AV2,MCFC4,,,
MCFC4_AV3,MCFC4,,,
MCFC4_AV4,MCFC4,,,
MCFD4,MCFD4,,,
MCFD4_AV1,MCFD4,4472x4472,,auto: custom download res (or undocumented crop?) — verify
MCFD4_AV2,MCFD4,,,
MCFD4_AV3,MCFD4,,,
MCFD4_AV4,MCFD4,,,
MCFE4,MCFE4,,,
MCFE4_AV1,MCFE4,3441x3441,,auto: custom download res (or undocumented crop?) — verify
MCFE4_AV2,MCFE4,,,
MCFE4_AV3,MCFE4,,,
MCFE4_AV4,MCFE4,,,
MCFF4,MCFF4,,,
MCFF4_AV1,MCFF4,4287x4287,,auto: custom download res (or undocumented crop?) — verify
MCFF4_AV2,MCFF4,,,
MCFF4_AV3,MCFF4,,,
MCFF4_AV4,MCFF4,,,
MCFG4,MCFG4,,,
MCFG4_AV1,MCFG4,3225x3225,,auto: custom download res (or undocumented crop?) — verify
MCFG4_AV2,MCFG4,,,
MCFG4_AV3,MCFG4,,,
MCFG4_AV4,MCFG4,,,
MCFH4,MCFH4,,,
MCFH4_AV1,MCFH4,4472x4472,,auto: custom download res (or undocumented crop?) — verify
MCFH4_AV2,MCFH4,,,
MCFH4_AV3,MCFH4,,,
MCFH4_AV4,MCFH4,,,
MCFJ4,MCFJ4,,,
MCFJ4_AV1,MCFJ4,3441x3441,,auto: custom download res (or undocumented crop?) — verify
MCFJ4_AV2,MCFJ4,,,
MCFJ4_AV3,MCFJ4,,,
MCFJ4_AV4,MCFJ4,,,
MCFK4,MCFK4,,,
MCFK4_AV1,MCFK4,4287x4287,,auto: custom download res (or undocumented crop?) — verify
MCFK4_AV2,MCFK4,,,
MCFK4_AV3,MCFK4,,,
MCFK4_AV4,MCFK4,,,
MCFL4,MCFL4,,,
MCFL4_AV1,MCFL4,3755x3755,,auto: custom download res (or undocumented crop?) — verify
MCFL4_AV2,MCFL4,,,
MCFL4_AV3,MCFL4,,,
MCFL4_AV4,MCFL4,,,
MCFM4,MCFM4,,,
MCFM4_AV1,MCFM4,4231x4231,,auto: custom download res (or undocumented crop?) — verify
MCFM4_AV2,MCFM4,,,
MCFM4_AV3,MCFM4,,,
MCFM4_AV4,MCFM4,,,
MCFN4,MCFN4,,,
MCFN4_AV1,MCFN4,3756x3756,,auto: custom download res (or undocumented crop?) — verify
MCFN4_AV2,MCFN4,,,
MCFN4_AV3,MCFN4,,,
MCFN4_AV4,MCFN4,,,
MCFP4,MCFP4,,,
MCFP4_AV1,MCFP4,4378x4378,,auto: custom download res (or undocumented crop?) — verify
MCFP4_AV2,MCFP4,,,
MCFP4_AV3,MCFP4,,,
MCFP4_AV4,MCFP4,,,
MCFQ4,MCFQ4,,,
MCFQ4_AV1,MCFQ4,3755x3755,,auto: custom download res (or undocumented crop?) — verify
MCFQ4_AV2,MCFQ4,,,
MCFQ4_AV3,MCFQ4,,,
MCFQ4_AV4,MCFQ4,,,
MCFR4,MCFR4,,,
MCFR4_AV1,MCFR4,4231x4231,,auto: custom download res (or undocumented crop?) — verify
MCFR4_AV2,MCFR4,,,
MCFR4_AV3,MCFR4,,,
MCFR4_AV4,MCFR4,,,
MCFT4,MCFT4,,,
MCFT4_AV1,MCFT4,3756x3756,,auto: custom download res (or undocumented crop?) — verify
MCFT4_AV2,MCFT4,,,
MCFT4_AV3,MCFT4,,,
MCFT4_AV4,MCFT4,,,
MCFU4,MCFU4,,,
MCFU4_AV1,MCFU4,4378x4378,,auto: custom download res (or undocumented crop?) — verify
MCFU4_AV2,MCFU4,,,
MCFU4_AV3,MCFU4,,,
MCFU4_AV4,MCFU4,,,
MD301,MD301,768x768,,auto: custom download res (or undocumented crop?) — verify
MD301_AV1_BLACK,MD301,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD301_AV1_WHITE,MD301,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD301_AV2_BLACK,MD301,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD301_AV2_WHITE,MD301,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD301_AV3,MD301,1280x1280,,auto: custom download res (or undocumented crop?) — verify
MD301_AV3_BLACK,MD301,,,
MD301_AV3_WHITE,MD301,,,
